;SD;PINB;TINB;Q;POUTB;TOUTB;REVHP;REVLP;REVWE;TFIRE;CF;LABEL;SEGMENT
2013-02-20 00:00:00;;-0.2606418848971214;;;-0.26591768200505034;-0.1237463745665613;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;1
2013-02-20 00:10:09;;-0.2606418848971214;;;-0.26591768200505034;-0.10896803638315557;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 00:20:18;;-0.2606418848971214;;;-0.26591768200505034;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 00:30:27;;-0.26245844311781724;;;-0.26591768200505034;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 00:40:36;;-0.26245844311781724;;;-0.26733513927824665;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 00:50:45;;-0.26245844311781724;;;-0.2645002543315882;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 01:00:54;;-0.26245844311781724;;;-0.266626396411007;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 01:11:03;;-0.2606418848971214;;;-0.266626396411007;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 01:21:12;;-0.26245844311781724;;;-0.266626396411007;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 01:31:21;;-0.26245844311781724;;;-0.266626396411007;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 01:41:30;;-0.2606418848971214;;;-0.266626396411007;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 01:51:39;;-0.04356650695327753;;;-0.0965342695720246;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.27750661038804303;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 02:01:48;;0.20847705429592964;;;0.10048908666180723;-0.09418969819974993;-0.32286931089486365;-0.3130570139074622;-0.27750661038804303;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 02:11:57;;0.3869511558369578;;;0.24010641093770532;-0.07448528571218516;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 02:22:06;;0.4909475725423183;;;0.3205457948572614;-0.05970694752877952;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 02:32:15;;0.5191037478713492;;;0.34322474692398125;-0.03718759015383052;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 02:42:24;;0.5213744565896905;;;0.34464219850492106;-0.0076309137870192445;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.3087794775205887;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 02:52:33;;0.5213744565896905;;;0.34464219850492106;0.01840705985726278;-0.32286931089486365;-0.3130570139074622;-0.29460480376686615;-0.17977761352806923;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 03:02:42;;0.5213744565896905;;;0.34464219850492106;0.04022268821479878;-0.32286931089486365;-0.18906550368543845;-0.29460480376686615;-0.17977761352806923;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 03:12:51;;0.5213744565896905;;;0.34464219850492106;0.05992715833782777;-0.28827293655519926;-0.16401242692340612;-0.29460480376686615;-0.17977761352806923;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 03:23:00;;0.5213744565896905;;;0.34464219850492106;0.07470543888576929;-0.2652086851964115;-0.16401242692340612;-0.29460480376686615;-0.17977761352806923;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 03:33:09;;0.5213744565896905;;;0.34464219850492106;0.07470543888576929;-0.24972268122486868;-0.16401242692340612;-0.29460480376686615;-0.17977761352806923;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 03:43:18;;0.5213744565896905;;;0.34464219850492106;0.09722479626071819;-0.22764690753466998;-0.1440548932018216;-0.29460480376686615;-0.17977761352806923;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 03:53:27;;0.5213744565896905;;;0.34464219850492106;0.09722479626071819;-0.19568643811409894;-0.0812098785989305;-0.29460480376686615;-0.17977761352806923;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 04:03:36;;0.5213744565896905;;;0.34464219850492106;0.09722479626071819;-0.10408842678639808;-0.05785530343212228;-0.2701788149403947;0.13236929046536172;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 04:13:45;;0.5213744565896905;;;0.34924888483556393;0.11270683464380482;0.03495610245895141;-0.032802233625503656;-0.20911384087372764;0.3480001515913464;-0.28308633027598645;-0.0035026269702276708;0
2013-02-20 04:23:54;;0.5213744565896905;;;0.34924888483556393;0.11270683464380482;0.1173283959726267;-0.011570815882660622;-0.15342258706954864;0.3480001515913464;-0.28308633027598645;-0.0035026269702276708;0
